year,week,rank,team,record,scraped_at
2019,Week 15,1,LSU,13-0,2025-08-09T09:45:02.310921
2019,Week 15,2,Ohio State,13-0,2025-08-09T09:45:02.311034
2019,Week 15,3,Clemson,13-0,2025-08-09T09:45:02.311125
2019,Week 15,4,Oklahoma,12-1,2025-08-09T09:45:02.311211
2019,Week 15,5,Georgia,11-2,2025-08-09T09:45:02.311319
2019,Week 15,6,Oregon,11-2,2025-08-09T09:45:02.311421
2019,Week 15,7,Baylor,11-2,2025-08-09T09:45:02.311508
2019,Week 15,8,Wisconsin,10-3,2025-08-09T09:45:02.311593
2019,Week 15,9,Florida,10-2,2025-08-09T09:45:02.311676
2019,Week 15,10,Penn State,10-2,2025-08-09T09:45:02.311760
2019,Week 15,11,Utah,11-2,2025-08-09T09:45:02.311844
2019,Week 15,12,Auburn,9-3,2025-08-09T09:45:02.311927
2019,Week 15,13,Alabama,10-2,2025-08-09T09:45:02.312031
2019,Week 15,14,Michigan,9-3,2025-08-09T09:45:02.312116
2019,Week 15,15,Notre Dame,10-2,2025-08-09T09:45:02.312201
2019,Week 15,16,Iowa,9-3,2025-08-09T09:45:02.312286
2019,Week 15,17,Memphis,12-1,2025-08-09T09:45:02.312371
2019,Week 15,18,Minnesota,10-2,2025-08-09T09:45:02.312459
2019,Week 15,19,Boise State,12-1,2025-08-09T09:45:02.312544
2019,Week 15,20,Appalachian State,12-1,2025-08-09T09:45:02.312629
2019,Week 15,21,Cincinnati,10-3,2025-08-09T09:45:02.312714
2019,Week 15,22,Southern California,8-4,2025-08-09T09:45:02.312799
2019,Week 15,23,Navy,9-2,2025-08-09T09:45:02.312884
2019,Week 15,24,Virginia,9-4,2025-08-09T09:45:02.312969
2019,Week 15,25,Oklahoma State,8-4,2025-08-09T09:45:02.313062
2019,Week 14,1,Ohio State,12-0,2025-08-09T09:45:12.708178
2019,Week 14,2,LSU,12-0,2025-08-09T09:45:12.708343
2019,Week 14,3,Clemson,12-0,2025-08-09T09:45:12.708443
2019,Week 14,4,Georgia,11-1,2025-08-09T09:45:12.708526
2019,Week 14,5,Utah,11-1,2025-08-09T09:45:12.708608
2019,Week 14,6,Oklahoma,11-1,2025-08-09T09:45:12.708691
2019,Week 14,7,Baylor,11-1,2025-08-09T09:45:12.708773
2019,Week 14,8,Wisconsin,10-2,2025-08-09T09:45:12.708855
2019,Week 14,9,Florida,10-2,2025-08-09T09:45:12.708938
2019,Week 14,10,Penn State,10-2,2025-08-09T09:45:12.709020
2019,Week 14,11,Auburn,9-3,2025-08-09T09:45:12.709103
2019,Week 14,12,Alabama,10-2,2025-08-09T09:45:12.709185
2019,Week 14,13,Oregon,10-2,2025-08-09T09:45:12.709269
2019,Week 14,14,Michigan,9-3,2025-08-09T09:45:12.709406
2019,Week 14,15,Notre Dame,10-2,2025-08-09T09:45:12.709538
2019,Week 14,16,Iowa,9-3,2025-08-09T09:45:12.709623
2019,Week 14,17,Memphis,11-1,2025-08-09T09:45:12.709707
2019,Week 14,18,Minnesota,10-2,2025-08-09T09:45:12.709842
2019,Week 14,19,Boise State,11-1,2025-08-09T09:45:12.709941
2019,Week 14,20,Cincinnati,10-2,2025-08-09T09:45:12.710058
2019,Week 14,21,Appalachian State,11-1,2025-08-09T09:45:12.710226
2019,Week 14,22,Southern California,8-4,2025-08-09T09:45:12.710342
2019,Week 14,23,Virginia,9-3,2025-08-09T09:45:12.710518
2019,Week 14,24,Navy,9-2,2025-08-09T09:45:12.710643
2019,Week 14,25,Oklahoma State,8-4,2025-08-09T09:45:12.710815
2019,Week 13,1,Ohio State,11-0,2025-08-09T09:45:23.089853
2019,Week 13,2,LSU,11-0,2025-08-09T09:45:23.089946
2019,Week 13,3,Clemson,11-0,2025-08-09T09:45:23.090026
2019,Week 13,4,Georgia,10-1,2025-08-09T09:45:23.090106
2019,Week 13,5,Alabama,10-1,2025-08-09T09:45:23.090185
2019,Week 13,6,Utah,10-1,2025-08-09T09:45:23.090264
2019,Week 13,7,Oklahoma,10-1,2025-08-09T09:45:23.090342
2019,Week 13,8,Minnesota,10-1,2025-08-09T09:45:23.090420
2019,Week 13,9,Baylor,10-1,2025-08-09T09:45:23.090498
2019,Week 13,10,Penn State,9-2,2025-08-09T09:45:23.090576
2019,Week 13,11,Florida,9-2,2025-08-09T09:45:23.090654
2019,Week 13,12,Wisconsin,9-2,2025-08-09T09:45:23.090732
2019,Week 13,13,Michigan,9-2,2025-08-09T09:45:23.090847
2019,Week 13,14,Oregon,9-2,2025-08-09T09:45:23.090963
2019,Week 13,15,Auburn,8-3,2025-08-09T09:45:23.091079
2019,Week 13,16,Notre Dame,9-2,2025-08-09T09:45:23.091159
2019,Week 13,17,Iowa,8-3,2025-08-09T09:45:23.091238
2019,Week 13,18,Memphis,10-1,2025-08-09T09:45:23.091347
2019,Week 13,19,Cincinnati,10-1,2025-08-09T09:45:23.091445
2019,Week 13,20,Boise State,10-1,2025-08-09T09:45:23.091527
2019,Week 13,21,Oklahoma State,8-3,2025-08-09T09:45:23.091607
2019,Week 13,22,Southern California,8-4,2025-08-09T09:45:23.091687
2019,Week 13,23,Iowa State,7-4,2025-08-09T09:45:23.091769
2019,Week 13,24,Virginia Tech,8-3,2025-08-09T09:45:23.091848
2019,Week 13,25,Appalachian State,10-1,2025-08-09T09:45:23.091928
2019,Week 12,1,LSU,10-0,2025-08-09T09:45:33.408525
2019,Week 12,2,Ohio State,10-0,2025-08-09T09:45:33.408630
2019,Week 12,3,Clemson,11-0,2025-08-09T09:45:33.408822
2019,Week 12,4,Georgia,9-1,2025-08-09T09:45:33.408919
2019,Week 12,5,Alabama,9-1,2025-08-09T09:45:33.409005
2019,Week 12,6,Oregon,9-1,2025-08-09T09:45:33.409088
2019,Week 12,7,Utah,9-1,2025-08-09T09:45:33.409173
2019,Week 12,8,Penn State,9-1,2025-08-09T09:45:33.409257
2019,Week 12,9,Oklahoma,9-1,2025-08-09T09:45:33.409342
2019,Week 12,10,Minnesota,9-1,2025-08-09T09:45:33.409429
2019,Week 12,11,Florida,9-2,2025-08-09T09:45:33.409516
2019,Week 12,12,Wisconsin,8-2,2025-08-09T09:45:33.409599
