year,week,rank,team,record,scraped_at
2014,Week 10,1,Mississippi State,7-0,2025-08-09T09:51:28.607809
2014,Week 10,2,Florida State,7-0,2025-08-09T09:51:28.607895
2014,Week 10,3,Auburn,6-1,2025-08-09T09:51:28.607970
2014,Week 10,4,Mississippi,7-1,2025-08-09T09:51:28.608043
2014,Week 10,5,Oregon,7-1,2025-08-09T09:51:28.608115
2014,Week 10,6,Alabama,7-1,2025-08-09T09:51:28.608187
2014,Week 10,7,TCU,6-1,2025-08-09T09:51:28.608259
2014,Week 10,8,Michigan State,7-1,2025-08-09T09:51:28.608331
2014,Week 10,9,Kansas State,6-1,2025-08-09T09:51:28.608404
2014,Week 10,10,Notre Dame,6-1,2025-08-09T09:51:28.608476
2014,Week 10,11,Georgia,6-1,2025-08-09T09:51:28.608553
2014,Week 10,12,Arizona,6-1,2025-08-09T09:51:28.608626
2014,Week 10,13,Baylor,6-1,2025-08-09T09:51:28.608699
2014,Week 10,14,Arizona State,6-1,2025-08-09T09:51:28.608771
2014,Week 10,15,Nebraska,7-1,2025-08-09T09:51:28.608845
2014,Week 10,16,Ohio State,6-1,2025-08-09T09:51:28.608917
2014,Week 10,17,Utah,6-1,2025-08-09T09:51:28.608989
2014,Week 10,18,Oklahoma,5-2,2025-08-09T09:51:28.609061
2014,Week 10,19,LSU,7-2,2025-08-09T09:51:28.609185
2014,Week 10,20,West Virginia,6-2,2025-08-09T09:51:28.609261
2014,Week 10,21,Clemson,6-2,2025-08-09T09:51:28.609346
2014,Week 10,22,UCLA,6-2,2025-08-09T09:51:28.609418
2014,Week 10,23,East Carolina,6-1,2025-08-09T09:51:28.609489
2014,Week 10,24,Duke,6-1,2025-08-09T09:51:28.609561
2014,Week 10,25,Louisville,6-2,2025-08-09T09:51:28.609667
2014,Week 11,1,Mississippi State,8-0,2025-08-09T09:51:18.305272
2014,Week 11,2,Florida State,8-0,2025-08-09T09:51:18.305383
2014,Week 11,3,Auburn,7-1,2025-08-09T09:51:18.305550
2014,Week 11,4,Oregon,8-1,2025-08-09T09:51:18.305649
2014,Week 11,5,Alabama,7-1,2025-08-09T09:51:18.305745
2014,Week 11,6,TCU,7-1,2025-08-09T09:51:18.305841
2014,Week 11,7,Kansas State,7-1,2025-08-09T09:51:18.305942
2014,Week 11,8,Michigan State,7-1,2025-08-09T09:51:18.306037
2014,Week 11,9,Arizona State,7-1,2025-08-09T09:51:18.306131
